voter.address,total_proposals,total_votes,for_votes,against_votes,weight,abstain_votes
0x5f5ec4f83accc5ba176064dbfa67d6ac74c03af2,1,1,1,0,3.7999999999999996e+24,0
0xdc08a78279404d3614c55dd1945a029b8cb8fc8f,11,11,11,0,5.99999684e+23,0
0x1f99b2df41969c0b88517b55bf0426dd2ecf977c,12,12,9,2,3.380000329701326e+23,1
0xcae79fab5257eeb32a4c744210914feca536f435,8,8,8,0,3.006922645424328e+23,0
0x578ddbd61a848ef4cd1be71d96ddd70e58fb16ef,4,4,3,0,2.7187434000000003e+23,1
0x8747d9eb39085f082ab40a9975001276296027dd,3,3,2,0,2.092126982979741e+23,1
0x35b4a7fb1497f4d6b95a1eb429f63061d8b9fef9,2,2,0,0,2.02242147e+23,2
0x8fc548b6b071bf0f2fe64ad1aa6032a6d2037366,2,2,1,1,2.0082611064892585e+23,0
0xc8bdec0f09a4cf86d0245021bc0cae9ab24a2065,2,2,0,2,1.345e+23,0
0x03d66c06177276c6cb1c410d8b77c0a628deffc1,5,5,3,2,1.0021788526007033e+23,0
0xaaba52863cfc2f0ee79cff1df2d584a6446cddb7,2,2,2,0,1.00085583294318e+23,0
0xa6c34d21abf004ce5c61fcf6397460737c6c9cce,3,3,2,0,9.279139178151308e+22,1
0xab205303361af614ebfce3a515fb73fd4b83d82b,1,1,1,0,8.058917836727951e+22,0
0x54da11a90d36f292b3a995d1a447dfe6923cf454,17,17,16,0,7.837268762530619e+22,1
0xf971487c1e6a2bde1bc824ad9290351abfc3e236,1,1,1,0,7.5e+22,0
0x53ddf1dbe90479a20de016cd0325ca78795241df,6,6,6,0,7.469999999999999e+22,0
0xdcbe18cb497d00b9341ac806ac4f5a1290066d45,3,3,3,0,6.757724077120848e+22,0
0xc0fcfd732d6ed4ad1afb182a080f31e74fc0f28d,7,7,7,0,6.534704843504753e+22,0
0xa6f0126b36291dc3bc9a8ef565a434b394e4b01e,9,9,9,0,6.526488368468252e+22,0
0xfe968f385ca7a4eeeb395e5c4cfa5140d62572ff,22,22,18,3,6.121189941463337e+22,1
0x961544ba6cbd72319030dd7197bc074d6a46eedf,16,16,16,0,6.000000000000001e+22,0
