proposal_id,title,governance_id,for_vote_count,for_weight,against_vote_count,against_weight,abstain_vote_count,abstain_weight,tally_id,proposer_address,proposer_name,duration,start_date,start_time,end_date,end_time,tally_create_date,tally_create_time,total_votes,result,total_weight,delegatorsCount,delegates_weight,participation_rate_weighted,participation_rate
46905320292877192134536823079608810426433248493109520384601548724615383601450,# AIP: ArbOS 20 “Atlas” - Arbitrum Support for Dencun + Batch Poster Improvements ,eip155:42161:0xf07ded9dc292157749b6fd268e37df6ea38395b9,7430,1.865608372979249e+26,1549,1.4486111413270418e+22,1535,1.881366630214792e+22,32efec30-c69e-4010-8696-125325aa6a7b,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,183103200.0,2024-02-17,00:11:35,2024-03-02,03:16:23,2024-02-13,13:09:25.678379,10514,accepted,1.865941370756403e+26,158896,2.800310756481712e+27,0.7669559328953606,0.2298317127464411
28300903567340237987946172947371304329455149918972967618773111648600015289785,# Changes to the Constitution and the Security Council Election Process,eip155:42161:0xf07ded9dc292157749b6fd268e37df6ea38395b9,9297,1.5761306516756585e+26,1904,2.42277766203503e+22,1639,3.319488165401642e+22,b0e7a50e-9e12-43ab-a2ce-b123e0a1f2ca,0xad16ebe6ffc7d96624a380f394cd64395b0c6144,Frisson,185619600.0,2024-02-10,18:33:23,2024-02-25,02:17:47,2024-02-07,13:21:53.864177,12840,accepted,1.576704878258402e+26,146283,2.6915606112359634e+27,0.6786356575410778,0.2373309742690267
110767177349707239820875764565747830009768307680609166467172874966002003291288,# Long Term Incentives Pilot Program,eip155:42161:0x789fc99093b09ad01c34dc7251d0c89ce743e5a4,8878,1.4040234436089151e+26,865,3.020160763610167e+24,302,8.44745237773458e+24,ae21d019-b4a2-4c3f-840c-e46e50b49428,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,183369600.0,2024-02-04,00:52:47,2024-02-18,04:27:11,2024-01-31,16:42:40.914188,10045,accepted,1.5186995750223625e+26,148108,2.601867463380036e+27,0.6889679560909197,0.2612687840006101
43616303506326656287362617487331059827021737444126158637397168372555259240241,# Proposal [Non-Constitutional]: Establish the ArbitrumDAO Procurement Committee,eip155:42161:0x789fc99093b09ad01c34dc7251d0c89ce743e5a4,10418,1.3980796406562325e+26,1992,6.47245830818561e+23,1729,1.8138604291654823e+23,b7098d32-61d0-4623-a382-c3af092c044a,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,183448800.0,2024-01-21,18:22:23,2024-02-04,22:05:35,2024-01-18,17:57:39.817503,14139,accepted,1.4063659593935837e+26,158738,2.434301824279706e+27,0.689360358446356,0.2570636568097809
98889951328992702889653461987621825257851718470562453684547824130828387112157,# [UPDATED] Experimental Delegates Incentive System,eip155:42161:0x789fc99093b09ad01c34dc7251d0c89ce743e5a4,15368,1.3423381990804349e+26,2445,4.475412733391412e+23,1680,3.508714519727168e+24,bb17f726-0cd7-45a0-a69a-ebb64e1b9b0e,0xababe91a907fadff921720c43abe4098e7245e99,Frisson,182968200.0,2024-01-09,07:02:23,2024-01-23,09:52:11,2024-01-06,05:44:43.182590,19493,accepted,1.381900757011098e+26,167640,2.4461886767972785e+27,0.6528172063172947,0.2583785329387458
56002054155248055908873103086558103132748843103210580613728556162036150296506,# [Updated] Proposal to Establish the Arbitrum Research & Development Collective,eip155:42161:0x789fc99093b09ad01c34dc7251d0c89ce743e5a4,12404,1.1572040350532918e+26,4768,2.422367773790998e+25,1840,2.365033925796876e+24,0b10c0f4-4808-4cf0-88c3-314ac66de4b4,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,182957400.0,2024-01-08,19:45:59,2024-01-22,22:34:35,2024-01-05,18:26:37.413230,19012,accepted,1.4230911516903604e+26,166315,2.557310628147519e+27,0.6579325365135344,0.2680143379620602
48996903531311678297225319178379421688557110940940578387634228127153623956997,# [Updated] Proposal to Establish the Arbitrum Research & Development Collective,eip155:42161:0xf07ded9dc292157749b6fd268e37df6ea38395b9,642,1.48942281589269e+23,971,2.7165520108021724e+25,58,8.222611357890032e+22,fd1e5947-f2a2-4718-83bc-98f47a4a8701,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,182957400.0,2024-01-08,19:45:11,2024-01-22,22:33:47,2024-01-05,16:47:22.799831,1671,rejected,2.7396688503189894e+25,46238,7.07186227346e+26,0.5315233828349012,0.2026452551190785
6269372711941757139042689495856382466058496535755800373140231592090274906424,# Experimental Delegates Incentive System,eip155:42161:0xf07ded9dc292157749b6fd268e37df6ea38395b9,776,6.850507495675639e+23,762,2.549510277018381e+25,131,1.6477336002141025e+24,582393d9-579e-48ba-8507-580fafb3739c,0xababe91a907fadff921720c43abe4098e7245e99,Frisson,182941200.0,2024-01-08,09:29:23,2024-01-22,12:16:11,2024-01-05,08:12:21.272545,1669,rejected,2.7827887119965475e+25,48075,7.1635831198e+26,0.5231911289535198,0.2195231028096378
35525013043870715946223420504118237039230172376655957921569389087285511330636,# [UPDATED] Proposal to Establish the Arbitrum Research & Development Collective,eip155:42161:0x789fc99093b09ad01c34dc7251d0c89ce743e5a4,1283,2.690311771649612e+24,423,2.509592852336462e+25,64,7.950955575167248e+22,73da0c89-cb05-4f73-9aa3-8be3beaf9192,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,182984400.0,2024-01-06,18:32:59,2024-01-20,21:24:35,2024-01-03,17:29:34.885499,1770,rejected,2.7865749850765904e+25,47421,7.13818831966e+26,0.5305917421903814,0.2118644189470733
55434268037459750836497365958054185343730937462615166912204494229415053613423,# [UPDATED] Proposal to Establish the Arbitrum Research & Development Collective,eip155:42161:0xf07ded9dc292157749b6fd268e37df6ea38395b9,1189,2.226220837127985e+24,395,2.5391028303062023e+25,54,3.779657427156627e+22,31f64a67-f4c5-4e1f-be8c-77eadb606d6c,0xb5b069370ef24bc67f114e185d185063ce3479f8,Frisson,182984400.0,2024-01-06,18:00:59,2024-01-20,20:52:35,2024-01-03,16:49:30.030019,1638,rejected,2.7655045714461573e+25,46419,7.08418249226e+26,0.5331057080348885,0.2054505390951931
